古代帝王的女婿，也就是公主的丈夫通常被称为什么爷	驸马爷
《有的人》是哪一位当代诗人为纪念鲁迅逝世十三周年而写的一首抒情诗	臧克家
导演张艺谋的出生地在哪个中国西北大省	陕西
“扶桑”指现在哪个与我国隔海相望的国家	扶桑是中国名花,在华南栽培很为普遍
名气仅次于灞桥的中国名桥是哪座桥	长江上最新的一座桥，名叫润扬长江大桥，连接江苏省的镇江（古称润州）与扬州
台湾歌手张宇的老婆，《月亮惹的祸》《用心良苦》的词作者是谁	十一郎,原名萧慧文,词作者,台湾人
考试之前紧张睡不着觉该怎么办	放松一点,别太想着他,我以前也有过,叫做强迫症,其实他也不是病,就是紧张,明明这东西放了可觉得没放,最好的就是别想它,找个人帮你安慰一下,没事
被誉为“世界最美丽的大街”法国香榭丽舍大街两旁种的是什么树	?梧桐树
巴西都在哪些年获得过世界杯冠军	5次
炸酱面、豆汁、炒肝是我国哪个城市的风味小吃	北京
世界上第一枚邮票出现在哪个国家	世界第一枚邮票黑便士  世界上第1枚邮票，1840年5月1日在英国问世， 5月6日开始使用
我们常把“不会游泳的人”被称为“什么鸭子”	鸭子本来喜欢水,你不让它进水,急得出汗了,人也是
辅佐齐桓公成为春秋时期的第一霸主的人是谁	周文王任用( 姜尚),在他的辅佐下国家强盛起来;齐桓公捐弃前嫌,任用(管仲 )为相,在他帮助下成为春秋时期的第一个霸主
王维的《山居秋暝》中，“明月松间照”的下一句是什么	很明显,“王孙自可留”中的王孙是作者“不欲仕宦之意”的真实写照
冯小刚执导的电影《天下无贼》，插曲《知道不知道》是由哪位台湾女歌手演唱的	刘若英 演唱的
我国企业对所售商品实行的“三包政策”指的是“包修”、“包换”和什么	 包
发射第一颗人造卫星的是哪个国家	1957年10月4日，苏联宣布成功地把世界上第一颗绕地球运行的人造卫星送入轨道
CPR的意思是什么	cpr 心肺复苏术-CPR ( CARDIOPULMONARY RESUSCITATION ) 心肺复苏术(CPR)是现场急救的技术,如果在患者倒地后四分钟之内进行CPR ;八分钟内做高级心脏救护
2012年11月27日，我国上证综指跌破多少点的大关，正式进入"1"时代	2000
梁羽生小说《云海玉弓缘》中少年时就被世人遗弃的男主人公叫什么名字	金世遗 梁羽生武侠小说《云海玉弓缘》中的人物,绰号「毒手疯丐」,行踪所至,群丑慑伏,邙山一战,令清宫侍卫不敢再行走江湖
第五套人民币背面主图为桂林山水图案票面是多少元	票面是 二十元
温哥华是哪个国家的城市	温哥华是加拿大的一个城市,但不是首都
旧称“北平”是现在中国的哪座城市	北京
成语“鹣鲽情深”的鲽是哪种眼睛长在同边的鱼类	 比目
三角函数中sin表示正弦，请问cos表示什么	余弦
中国第一个海上油田“埕北油田”位于我国什么海的西南方	渤海
人们一般所说的“孔方兄”是对哪种物品的调侃式的称呼	钱
哪座古城曾因为在三次布匿战争中均被罗马打败而灭亡	 迦太基 2
有“小甜甜”外号的美国流行天后叫什么名字	流行天后 布莱
螃蟹的血液是浅蓝色的，因为其中含有哪种金属微量元素	铜 微量元素
新中国首位外交部长是谁	陈毅
我们吃的椰子大部分产于我国哪个省	海南/
哪一届中国政府收回了香港	香港是1842年根据《中英南京条约》割给英国
海洋中的“乌贼”又被称为什么鱼	墨鱼 墨
大陆架是什么	大陆架是大陆向海洋的自然延伸，是陆地的一部分
TVB剧《法网狙击》中女主角“况天蓝”是由哪位女明星扮演的	杨怡
北京故宫的乾清宫正殿宝座上方悬挂的牌匾上写有哪几个字	乾清宫正殿宝座上方悬着由清朝顺治皇帝御笔亲书的“正大光明”匾
根据植物茎的性质，可将植物分为木本植物和什么	根据植物茎的性质不同,将茎分为木本植物和草本植物两大类
曾经有一份真诚的爱情放在我面前，我没有珍惜，是哪部电影台词	大话西游
通常吧利用某种职权打击报复，置人与困境的行为称为给人穿什么鞋	穿小鞋
香港著名演员米雪的妹妹是谁	雪梨
为什么停车信号用红色	我们知道,光线通过空气时会发生散射,对于相同的媒质来说,光线的波长越短,散射作用越强,光线的波长越长,散射作用就越弱
《陆小凤传奇》中西门吹雪的老婆叫什么名字	孙秀青 第八轮 汪磊PK刘佳丽
Halloween是什么意思	您的问题很简单
毛泽东是哪天去世的	毛泽东逝世日期是1976年9月9日
今年欧洲杯有哪几支参赛队伍	共有53支队伍参赛!
我们一般会用“言午”来形容哪个姓氏	?许
在物理学中的电路图中一个圆圈内加一把叉表示什么	电灯泡
街头用于抢险救灾的消防栓，主体是什么颜色	红色
第一次世界大战开始的时间是	第一次世界大战从1914年8月开始到1918年11月,历时4年3个月,战火席卷欧、亚、非三大洲,参战国家地区达34个,受战祸波及的人口达15亿以上,约占世
希腊神话中阿特柔斯之子，特洛亚战争中希腊方面的统帅是谁	阿伽门农
张纪中版的《天龙八部》里王语嫣的扮演者是哪位内的的演员	刘亦菲 的演员
我国最大的淡水湖是哪个淡水湖	中国最深的淡水湖--抚仙湖中国最大的咸水湖--青海湖 中国最深咸水湖泊是位于长白山主峰白头山上的天池
333这首经典歌曲是哪位男歌手的代表作	?蔡国庆
我们常说在分配方面存在平均主义，干好干坏一个样叫做吃什么饭	一、收入差距过大的原因基尼系数,是一个用来描述收入整体差距程度的重要指标
手抓饭主要是我国哪个少数民族款待宾客的传统美食	:解决方案1:维吾尔族
小说《平凡的世界》出自我国哪位著名作家之手	路遥
世界上最大的佛像雕塑在我国四川哪个城市	游人们在瞻仰它的时候,莫不对我国古代的雕塑师们在设计和塑造这尊佛像时所...就在这三江汇合得地方,坐着一尊世界上最大的佛像-乐山凌云大佛
本轮欧债危机最主要的导火索是哪个欧洲国家	希腊
哪两个南美国家不与巴西接壤	不是,还有智利和厄瓜多尔等国家没有和巴西接壤
苹果当中含有增强记忆力的微量元素是什么	微量元素锌有增强记忆力的作用 苹果是美容佳品,既能减肥,又可使皮肤润滑柔嫩
电影《诺丁山》是主要取景地诺丁山是在欧洲哪个城市	伦敦
最容易使用的乐器是什么	如果我来说民族乐器里的古筝是很好学的它可一在半年里就能练到10级
达尔文的哪本著作详细的论述和解释了“进化论”	王老师给您解释这个问题:有关这一部分没用现在在人教版必修二第七章有讲解
我国著名“大昭寺”“小昭寺”位于西藏自治区的哪个城市	西藏自治区的 拉萨
脍炙人口的歌曲《同桌的你》由哪位内地男歌手原唱	老狼 男歌手原唱
西餐中，用各种水果或蔬菜切成小块，加调味品拌成的菜叫什么	沙拉哦
由郭德纲创立的一个相声社团叫什么名字	德云社 德云社 德云社
陆游的《游山西村》写到，“山重水复疑无路”的下一句是什么	一水护田将绿绕, 两山排闼送青来
少林寺为什么有名	1.因为少林寺在明朝的时候为中国人民打过倭寇,深受老百姓的尊重
名著《三国演义》中，在周瑜死后接替其领兵驻守陆口，维护孙刘联盟的人是谁	维护孙刘联盟的 鲁肃
曾经风靡一时的网络歌曲《丁香花》是哪位内地网络歌手的作品	唐磊 的作品
电影《变形金刚》中，与擎天柱作对的反派首领叫什么	123里面都有威震天,不过23的大反派不是他
手抓饭主要是我国哪个少数民族款待宾客的传统美食	:解决方案1:维吾尔族
最快的交通工具是什么	转自凤凰:河南禹州一农民为了逃避过路费,拿着两套假军车牌照营运,8个月里免费通行高速2361次,偷逃过路费368万余元
在什么年代中国男人是扎辫子的	史蒂文·席格 Steven Seagal
由内地实力男星韩磊演唱的电视剧《康熙王朝》的主题曲叫什么	《向天再借五百年》
最近最流行的网络歌曲是什么	1、《上了你的船》
“敦煌八景”之一，鸣沙山旁的泉水叫什么	月牙泉-敦煌月牙泉编辑词条月牙泉即鸣沙山─月牙泉风景名胜区
“将军三箭定天山，战士长歌入汉关”说的是唐朝哪位将军	昔唐高宗年间,铁勒进犯我朝边疆,薛仁贵奉旨讨伐,出征前唐高宗对薛仁贵说;“古善射有穿七札者,卿试以五甲射焉
因饰演了《梅花三弄》《一帘幽梦》等琼瑶剧而出名的女演员是谁	陈德容
艾米所写的《山楂树之恋》被哪位导演翻拍成电影	张艺谋
位于俄罗斯的太平洋沿岸著名海港城市符拉迪沃斯托克又名什么	海参崴
歌词“古老的东方有一条龙，它的名字叫中国”来自哪首歌	龙的传人
代表作有《大淖记事》、《受戒》的是哪位江苏高邮作家	汪曾祺
出自《乐府诗集》，相对于大家闺秀，小户人家年轻美貌的女子常称之为什么	小家碧玉
我国“八一双鹿队”现任维吾尔族主教练，被誉为“篮球场上的魔术师”的是谁	阿的江 现任维吾尔族主教练
美人鱼雕像在丹麦的哪个城市	哥本哈根
成语“韦编三绝”说的是哪个人物翻书多到把编连竹简的皮绳弄断了多次	孔子
位于南美洲，唯一一个与海相通的湖是什么湖	马拉开波湖
坐落在上海黄浦江畔的著名电视塔，叫做什么名字	东方明珠
联合国是什么时候成立	联合国创建于世界反法西斯战争胜利的凯歌声中
港剧《鉴证实录》中男主角曾家原警探是由哪位香港明星扮演	林保怡
在007系列电影《黄金眼》《明日帝国》中的“邦德”是谁饰演的	皮尔斯布鲁斯南
台湾七十年代著名女演员，著名影星成龙的现任妻子叫什么名字	林凤娇
内地著名歌手孙楠的前妻是哪位著名小品演员	买红妹
旧时由婆家养育，待到成年后正式结婚的女孩子叫什么	童养媳
奥本海默是谁	奥本海默有美国的“原子弹之父”之称
冰球运动起源于哪个国家	冰球运动起源于150年前的加拿大，很快传播到了欧洲及世界各国
常用于足球比赛后颁奖仪式的歌曲《Wearethechampions》是哪个乐队的经典歌曲	《WeAreTheChampions》歌曲背景(转载):《Wearethechampion》最早是一首同性恋歌曲,1994年美国世界杯主题曲,现在成了弘扬体育精神和奥运冠军的经典庆贺曲目
由于毛孔堵塞而生长在鼻子上的黑色细小颗粒俗称为什么	俗称为 黑头
新婚吉庆时，通常会在新房贴上哪个字来讨好彩头	喜(双喜) 讨好彩头
用什么动物表示股票市场普遍上涨，延续时间较长的大升市	牛啊
歌手孟庭苇演唱的歌曲中唱到“冬季到哪里来看雨，别在异乡哭泣”	台北
小说《妻妾成群》是我国哪位当代著名作家的代表作	苏童
克里奥佩特拉是哪个王朝的君主	托勒密王朝的君主,埃及王后
《周易》中，“乾”是天的意思，那么什么字是“地”的意思	坤的意思是“地”是“阴”是“臣”是“女”
建立了隋朝的隋文帝的名字是什么	直接给你上史料吧,丞相是高熲,其他功臣什么官职请看括弧里的内容,其他可忽略 开皇元年二月甲子,上自相府常服入宫,备礼即皇帝位于临光殿
胎儿刚出生时身上的毛发被称为什么毛	 胎毛
1981年戴安娜与查尔斯的婚礼大典在英国哪个大教堂举行	1981年7月29日,英国王储查尔斯王子和戴安娜公主在伦敦圣保罗教堂举行结婚典
水凝固后叫什么	一般水玻璃在空气中或者二氧化碳气氛中会干燥固化,半透明的树脂状,有一定硬度,见水缓慢溶胀变软,因为他是水性的.可以追问
被称为“狮王”的德国＊＊门将是谁	2010-07-10
日系轿车有哪些品牌	日本汽车品牌:丰田汽车和旗下的雷克萨斯(凌志)
加利福尼亚的首府在哪里	加利福尼亚
会飞的不一定是鸟类，蝙蝠从形态结构上就属于哪种种类的动物	哺乳类类的动物
游戏“两只小蜜蜂”中，如果游戏双方出的一样会做出哪种动作	是一种两人游戏
代表美国参加奥运会的男子篮球队被称作什么	瑞克·尚托,来自美国!这不是感冒,这是癌症啊!当我情绪低落时,我会向我的教练、队友们寻求安慰
越南的主要货币称之为什么	越南货币的主币名称的与荷兰相同 , 被称为: 盾
主演了《心灵捕手》《谍影重重》三部曲《十三罗汉》的是哪位好莱坞男星	马特达蒙
数学领域中所说的圆周率指的是圆形的周长与什么的比例	直径
罗马城的城徽上面有哪种动物	狼
电视剧《上错花轿嫁对郎》中齐府三公子齐天磊是由哪位内地著名男演员饰演	是内地著名小生聂远,饰演的,剧情不错结局大圆满,应了那句上错花轿嫁对郎
常温中唯一呈液态的是哪种金属	在常温状态下唯一呈现液态的金属是汞，即水银
我们通常用把夫妻新婚过后休假的一段时间叫什么月	蜜月
除夏威夷之外，哪个州也是美国本土以外的州	阿拉斯加州是除夏威夷之外的美国本土以外的州
我们常用“舍不得孩子套不着什么”来比喻要达到某一目的必须付出代价	狼
“荷兰三剑客”之一，人称“辫帅”的是哪位已退役的著名球星	古利特/路德·古利特
法国资产阶级革命是以巴黎人民攻占何地的起义为序幕	攻占巴士底狱的历史 多少年来,人们像痛恨封建制度一样痛恨这座万恶的巴士底狱
声速有多快	洲际导弹最快25马赫，现有的最快空空导弹约6马赫
1999年播出的韩国电视剧《汉城奇缘》中的饰演皮鞋设计师李汉妮是哪一位韩国女星	金喜善
我国劳动法规定禁止用人单位招用未满多少周岁的未成年人	《中华人民共和国未成年人保护法》第三十八条任何组织或者个人不得招用未满十六周岁的未成年人,国家另有规定的除外
提出“兼相爱交相利”的是先秦的哪位思想家	墨子 墨子
非洲国家南非的立法首都是哪座城市	开普敦
演唱《桃花朵朵开》的马来西亚歌手陈庆祥的艺名是什么	阿
音乐家舒伯特是哪国人	奥地利人
在我国神话传说中，哪个神专管人间婚嫁之事	月老
二战时期，美军以少胜多，成为二战太平洋战区转折点的是哪一场战役	中途岛战役
作为一种流行发式的梨花头兴起于哪个亚洲国家	作为一种流行发式的梨花头兴起于哪个亚洲国家? 日本
一战导火索事件的发生地萨拉热窝位于哪个半岛上	C 本题考查的是萨拉热窝事件
大汶口文化遗址在我国哪里	大汶口遗址在山东省泰安市大汶村南,大汶河东西贯穿,将遗址分为南北两片,北片在卫架庄东,为大汶口文化的代表遗址和命名地
钢琴是乐器之王，哪种弦乐器是乐器之后	哪种乐器被称为西洋乐器之后? 小提琴是被称为西洋乐器除钢琴外最难精通的乐器,钢琴为乐器之王,小提琴为乐器之后
NBA中马刺队有三位球星合称“GDP”其中的D是指谁	邓肯
我们常说“红花需要什么衬”	绿叶
“信天游”是中国哪个省的民歌风格	陕西
把大梨分给别人的故事出自《三字经》中哪一个著名典故	孔融让梨
中国画术语吴常当风是对哪位画圣画风的概述	吴道子
由金城武和梁咏琪主演，改编自几米漫画的电影是哪部	《向左走向右走》
在日常生活中最常见的螺丝刀的头有“一字型”和什么字型	在日常生活中最常见的螺丝刀的头有 “一字型” 和什么字型? 十 字型
在CBA联赛中，以东北虎命名的是我国哪个城市的篮球俱乐部	吉林 的篮球俱乐部
中国旅游涉外星级酒店中，最高档的酒店是几颗星	五颗
《我们仨》的作者，著名作家钱钟书的妻子是哪位文人	是钱钟书先生杨绛简介 本名杨季康(1911—),祖籍江苏无锡,生于北京
泰国男演员马里奥.毛瑞尔在哪部泰国青春爱情喜剧电影中扮演阿亮学长	初恋这件小事
商店中碰到这样的符号“$”，表示要用什么币种付款	美元
清代著名章回体小说《儒林外史》的作者是谁	吴敬梓
哥斯达黎加的首都是哪座城市	圣何塞
会吐丝做茧的蚕，它以吃什么植物的树叶为生	桑树 植物的树叶为
水占人体重量的百分之多少	随着年龄的增长，水占人体体重的比例会逐渐下降
在2010年南非世界杯上获得金球奖的乌拉圭前锋是谁	2010年南非世界杯,弗兰率领乌拉圭足球队时隔40年后再次挺进四强
秦始皇长子叫什么名字	扶苏----秦始皇长子(?—前210) 是秦朝统治者中具有政治远见的人物
在我国，家中排行老大的称作“伯”，那么排第二的称作什么	季 季 季
历史事件王莽篡夺王位改国号为新，是篡夺的哪个朝代的王权	汉朝
邓丽君演唱的《小城故事》中，“小城故事多”的下一句是什么	充满喜和乐
著名小说《爱丽丝梦游仙境》是哪位英国作家的作品	路易斯.卡罗尔
西方传统中，结婚时戒指应该戴在哪个指头	应该戴在 无名指
赵州桥的又名是什么	楼上二位不知道就不要献丑了
文艺复兴时期的“美术三杰”中，擅长画圣母像的画家是哪位	拉斐尔(Raffaello Sanzio,1483年4月6日-1520年4月6日) 资料:被誉为意大利文艺复兴三杰之一,怀抱着新柏拉图主艺术理想,以其洗练的画技,将文艺复兴的
贺知章的“不知细叶谁裁出”的下一句是什么	诗句“不知细叶谁裁出,二月春风似剪
由韩彩英、在煕共同出演的改编自韩国传统民间故事的是哪部韩剧	 《韩杰春香》99、被孔子赞美为“一箪食,一瓢饮,居陋巷”仍能不改其志的是孔
格林尼威天文台位于哪个城市	格林威治天文台位于英国首都伦敦东南 8 公里处的格林威治地区
我们常用什么油炸食物来指称把头发分成三束交叉扎起来的辫子	麻花
空调遥控器的屏幕上出现了“太阳”的符号，代表此时空调运行哪种模式	海尔空调遥控器太阳标志的含义:制热模式
第一次世界大战开始的时间是	第一次世界大战从1914年8月开始到1918年11月,历时4年3个月,战火席卷欧、亚、非三大洲,参战国家地区达34个,受战祸波及的人口达15亿以上,约占世
历史上著名的“商鞅变法”在是哪位国君即将以后开展的改革运动	秦孝公
宝洁公司总部在美国的哪里	始创于1837年的宝洁公司在 美国辛辛那提 ,是世界最大的日用消费品公司之
一个世纪是多少年	100
代表作有《竞选州长》、《汤姆索亚历险记》的是哪位美国著名作家	马克吐温
织女星位于哪个星座	织女星位于天琴座
“阿哩阿哆”是哪个亚洲国家语言中“谢谢”的说法	日本
电视剧《北京青年》中，李晨饰演的角色叫什么名字	何东
“草船借箭”中诸葛亮借的是哪国的箭	草船借箭 【汉语拼音】: cǎo chuǎn jiè jiàn 【释义】: 运用智谋,凭借他人的人力或财力来达到自己的目的
马头琴是我国哪个少数民族的乐器	d.蒙古族
石破天、石中玉是金庸哪部小说中的主人公	侠客行////'''
俗语所说“一年之计”在于哪个季节	一年之计春
电脑中央处理器英文简写是什么	CPU
东方明珠电视塔在哪里	上海东方明珠广播电视塔坐落于上海浦东新区陆家嘴嘴尖上,以其468米的绝对高度成为亚洲第一、世界第三之高塔
国花是仙人掌的是哪个美洲国家	墨西哥
名句“衣带渐宽终不悔，为伊消得人憔悴”是出自哪位北宋著名词人之手	柳永之手
号称“人屠”的战国时期秦国名将是谁	白起(?—前258),也叫公孙起,号称“人屠”,战国四将之一(其他三人分别是王翦、廉颇、李牧)战国时期秦国名将
曾效力于芝加哥公牛队的NBA著名球星丹尼斯.罗德曼的绰号是什么	大虫
2008年奥运会带领美国女排获得亚军的主教练是谁	郎平 之前在美国,她现在已经回中国了
曾效力于意甲AC米兰，身披10号球衣的葡萄牙“黄金一代”的中场球员是谁	鲁伊科斯塔
我国的澳门在清朝末期曾经被哪个欧洲国家侵略并占领过	葡萄牙
高卢鸡是哪个欧洲国家的象征	法国
目前世界上市值最高的是哪家美国高科技公司	苹果
我国收入字最多的字典是哪部	《汉语大字典》西汉的《仓颉篇》仅有3300字;东汉的《说文解字》收录了9353字;清朝的《康煕字典》突破了47000字;现在的《汉语大字典》所收汉字高达
在系列电视剧《活佛济公》中饰演“济公”的是哪位香港男演员	陈浩民
在《北京爱情故事》中出演程峰外号“疯子”并是该片导演的人是谁	陈思成
生活中的豆腐是用哪种豆类制成的	大豆/黄豆
缩写为“L.A”的是美国哪座著名城市	洛杉矶
奥运会击剑比赛项目分为三项，花剑、重剑和什么	花剑 分男子和女子,均有个人赛和团体赛
元宵灯谜“锦囊妙计（打一新用语）”的谜底是什么	如果说赋隐是事物谜(谜语)的过渡形式,那么文义谜(灯谜)是由离合过渡而成的
我们常把家中的独生子称作“小皇帝”，把独生女称作什么	你好,朋友
和服是哪个国家的民族服装	难道还不明白吗 是 日本 年关将至,烦恼中踱步阳台,寻思家庭资产连年大幅缩水,在武汉休息两三天看一看当地的风景品尝一下当地的小吃还是最终
佛家说的“放下屠刀”下一句的是什么	立地成佛
世界第一大水电工程三峡大坝位于我国哪个省	世界第一大水电工程三峡大坝位于我国哪个省? 湖北
首创了奥运会商业运作的“私营模式”，被誉为“奥林匹克商业之父”的是谁	尤伯罗斯
法网大满贯中，法网比赛场地是红土，温网的比赛场地是什么	6
大都是哪个朝代的首都	我国八大古都 郑州就是所谓的开封，都在河南省
位于德国莱茵河西部的以采煤工业起家的工业区叫什么	鲁尔工业区
李闯王是指明末哪位农民起义领袖	李自成
中南半岛上唯一一个内陆国家老挝的首都是哪	解答:解:中南半岛唯一的内陆国是老挝,其首都是万象,属于热带季风气候.故选:D
荷兰的国花是什么花	郁金香花语郁金香花语一： 爱的表白、荣誉的皇冠、永恒的祝福 花箴言：走出孤独，自然会邂逅永远的爱情 红郁金香：爱的宣言、喜悦、热爱黑
儒家学派的孔子被称为“圣人”，那么谁被称为“亚圣”	孟子
固定资产转让要缴纳哪些税	1、销售使用过的固定资产同时具备以下三个条件的免征增值税
司南是我国四大发明中哪件物品的前身	指南针
李春波的经典代表歌曲中唱到“村里有个姑娘叫什么，长得好看又善良”	1、歌词“有一个姑娘叫小芳,长得美丽又善良”(歌词中是小芳不是小方)出自歌曲《小芳》,是李春波的单曲,发行于1994年
小说《暗算》和《风声》的作者是谁	麦家 　麦家,居成都,出版有长篇小说《解密》、《暗算》小说集《紫密黑密》《地下的天空》《让蒙面人说话》等多部
我国海南岛与广东省的雷州半岛之间所夹的海峡是什么海峡	琼州海峡
在一副扑克牌中，J代表11，那么K代表数字几	你好 很荣幸能回答 J-11 Q-12 K-13 扑克牌中的J、Q、K是英文中侍从、王后、国王的缩写
谚语“若要人不知”的下一句是	除非己莫为
在同一平面内，过三点最多可以画几条直线	3种,任选其中两条做一条直线,再过另一点作它的平行线,有且仅有一条,而任选两条直线有三种选法,所以这样的平行线能画
宋代诗人叶绍翁的诗词《游园不值》中“春色满园关不住”的下一句是	一枝红杏出墙来
女方在怀孕期间，分娩后多长时间内，男方不得提出离婚	分娩后的一年之内，是不得离婚的
政府的通信地址是多少	余井镇人民政府(红点)
第一次奥林匹克运动会是哪年举行的	1932年,第十届奥运会在美国洛杉矶举
家严是对自己家中什么直系亲属的称呼	父亲 父亲
《红楼梦》中，林黛玉在大观园中的住所的名字是什么	荣国府: 荣国府为一正两厢鹿顶钻山形式的多进四合院
功夫“排山倒海”是情景喜剧《武林外传》中哪位角色经常使用的功夫	郭
中国唯一一个承办了F1世界一级方程式比赛分站赛的城市是哪里	上海,每年都有F1上海站,中国其它城市没有,在上海国际赛车场
著名的贞观之治发生在哪个朝代	唐朝
2011年第41届世界园艺博览会在我国的哪个著名古城举办	西安 古城举办
有蝴蝶8只，蜻蜓比蝴蝶多4只。那么蝴蝶和蜻蜓一共有多少只	20
戴高乐是怎么死的	你好,生病死的,夏尔·戴高乐是法国国务、军事、政治活动家,准将
《因为爱所以爱》，《谢谢你的爱1999》是哪位香港艺人的歌曲	谢霆锋
俗话说“胜者为王”下一句是	 败者为寇
我国三国时期的名医华佗是被哪位大枭雄所杀	曹操
著名景点羊八井地热蒸汽田位于我国西藏自治区的哪个城市	拉萨
在周星驰电影《食神》中饰演女主角双刀刃火鸡的是哪位女明星	莫文蔚
电视剧《金太郎的幸福生活》中饰演女主角小米妈妈的是哪位著名小品女演员	抱歉,这个我们无法为您做出准确的回答,请谅解
2004届世界足球先生效力于哪个俱乐部	由各国足协、各大洲足协在每年末根据球员在当年的全部俱乐部和国家队比赛的综合...2010-01-04
小学语文中，从打破花瓶的故事中懂得了诚信的是哪位俄国伟人	列宁
在太空中，宇航员呈漂浮状态主要是由于什么原因造成的	人与地球之中存在着万有引力,也就是指我们的重力,重力随着海拔的增高逐渐减小
出自孔子《论语》：“君子坦荡荡”下一句是什么	小人长戚戚
鸵鸟能跑出怎样的速度呢	1、V=S/t=5600m÷80S=70m/s答:鸵鸟的平均速度是70m/s(PS:70m/s是鸵鸟的平均速度)2、灵灵自己也是小朋友,算在幼儿园的小朋友的九个之内的话
移动公司的广告费是多少	原来
写出了《巨人传》等名著的是哪位法国的著名文艺复兴时期作家	拉伯雷
《名侦探柯南》中与工藤新一齐名的关西高中生名侦探是谁	服部平次
世界公认的四大文明古国是中国、古埃及、古印度和哪个古国	古希腊
著名的“撒尿小孩”铜像是比利时哪个城市的市标	是比利时首都布鲁塞尔的市标
儿歌《小燕子》开头歌词“小燕子，穿花衣”的下一句是什么	年年春天来这里 ,要问燕子你为啥来 燕子说这里的春天最美丽
王昌龄的《出塞》中，“秦时明月汉时关”的下一句是什么	万里长征人未还
戴上一根红丝带的公益活动是呼吁大家对哪种病的帮助和关系	艾滋病
毛利人是对哪个大洋洲国家原住民的称呼	新西兰
希腊神话中宙斯最忠实的信使，掌握畜牧、商业的神叫什么	赫尔墨斯
最小的岛国瑙鲁国位于五大洲的哪个洲	大洋洲,../
为了防止过敏，打青霉素针之前要先做什么	必须做皮试,就是用小量青霉素药水注入你的皮肤,如果你的皮肤膨胀,便对青霉素过敏,不可注射青霉素药剂;如果皮肤没有反应,便可以注射青霉素药
什么岛是圆形的	环形路的面积=3.14×(40+15)-3.14×40=3.14×(55-40)=3.14×1425=4474.5(平方米)答:这个环形路占地4474.5平方米
俄罗斯“和平号”空间站在太空工作了多长时间	俄罗斯“和平号”空间站在太空工作了15年 “和平号”空间站于1986年2月20日发射升空，1996年4月26日该空间站的最后一个组成部分“自然”号
互联网浏览器马赛克是哪个公司发明的	Intetnet是全世界最大的计算机网络,它起源于美国国防部高级研究计划局(ARPA)于1968年主持研制的用于支持军事研究的计算机实验网ARPANET
成名曲有《九百九十九朵玫瑰》《千纸鹤》等歌曲的台湾男歌手是	邰正宵
中国最大的商业银行是哪个银行	最大的商业银行是农业银行,因为他的网点可以说遍布城乡
刘玉玺的诗歌《竹枝词》中“东边日出西边雨”的下一句	道是无情却有情
毛主席的名句“谁敢横刀立马，唯我彭大将军！”中的彭大将军指的是谁	彭德
叶子受到外力触碰会立刻闭合的植物，学名叫什么	是含羞草 的
目前我国邮政储蓄异地取款手续费的最高限额是多少元	50
“弱冠之年”是古代社会对男子满多少岁时的年龄称谓	20
古代的死刑在什么季节行刑	古代执行死刑一般是在秋冬季节,这与古人的自然神权观念有关,即顺应天意
霸王别姬是京剧中有名的桥段，请问项羽在那条河边自刎的	乌江,中国贵州省第一大河,长江上游右岸支流
雷.查尔斯最拿手演奏的是什么乐器	管风琴
中国十大古典曲之一的《高山流水》曲作者是谁	作者是 俞伯牙
哪个节气在每年农历5月5日或6日，表示夏天的开始	立夏吧表示夏天的开始
一尺比一丈的长度长	我国传统的长度单位有里、丈、尺、寸等
二胡乐器的拉弓上的弓毛是用什么动物的毛制作而成的	一般都是用马尾制做,因为马尾毛上有些小锯齿似得凸起能增大摩擦力 另外,还有一种是尼龙的,但效果没马尾的好
获得欧洲冠军杯次数最多的是西甲的哪支球队	1.西甲夺冠次数最多的是皇家马德里,共夺得西甲联赛冠军:31次
中国最早文献记载并可查的桥是属于哪类桥梁	《诗经》中有“文定厥样 ,亲迎于渭
你使用过什么型号的交通工具	俺老孙 去也!
代表作有《闲散的时光》《唐璜》的英国19世纪初期伟大的浪漫主义诗人是谁	拜伦
美国的太平洋沿岸城市“圣迭戈市”（圣地亚哥市）位于哪个州	加利福尼亚州
两次世界大战分别爆发于哪年	1.第一次世界大战(简称一战;英语:WorldWarI、WWI、GreatWar)是一场于1914年7月28日至1918年11月11日主要发生在欧洲
“7UP”是我们常喝的哪种碳酸饮料	七喜
西藏布达拉宫最初是松赞干布为了迎接谁而兴建的	文成公主. . 文成公主
谁发现闪电是一种电	没错,是一种放电现象,原理和衣服静电差不多
屈原活了多大年纪	屈原(约公元前339
中国男子110米跨栏项目中有“南刘北史”的说法，南刘是刘翔，北史是谁	史冬鹏
测量降雨量的多少，我们一般用什么为单位	毫米为单位
调味料中的“十三香”中以树皮为原料的是取自哪种树	桂树上的桂皮
在《青青河边草》中饰演朱漱兰的是哪位知名女演员	刘雪华
德国最大的金融中心在哪个城市	与美国纽约并列世界上最大的金融中心
腊月是农历几月	腊月是农历是十二月
亚洲第一个举办夏季奥运会的国家是	1964年10月10日到24日，第18届夏季奥运会在日本东京举
“读书百遍，其义自见”中的“见”的哪个字的通假字	嗯,当然是通假字,和你说的一样,通“现”,出现的意思.释源:《三国志》裴松之注.《三国志·魏志·王肃传》:“明帝时大司农弘农董遇等,亦历注
主场在纽约的NBA球队是哪支	1、纽约尼克斯在美国本土球迷最多
